Foundation_Name,Owner/Founder,Founding_Date,Location,Assets_PHP,No_of_Members,Type_of_Foundation
Gabay Help Fund #754,Jocelyn Reyes,1977-10-22,San Pablo,267563,180,Health
Pamana Project #755,Grace Lopez,1994-10-12,Mandaue,625917,24,Microfinance
Bayan Charitable Foundation of Tagum,Evelyn Salvador,2016-11-18,Olongapo,421402,7,Arts & Culture
Pag-asa Project #757,Pedro Garcia,2020-10-31,Roxas,879598,56,Health
Bukas Charitable Foundation #758,Ana Abalos,1979-06-24,Dipolog,70311,135,Environmental
Pag-ibig Society - Cruz,Rico Dizon,2006-11-12,General Santos,153506,35,Charitable
Luntiang Foundation for Education #760,Lea Salvador,2024-08-19,Marikina,327785,135,Educational
Lingap Center #761,Miguel Mendoza,1982-11-27,San Fernando,66746,7,Community Development
Kaagapay Foundation for Education #762,Ruben Mendoza,1973-06-24,Lucena,149320,444,Religious
Tahanan Foundation of Ilagan,Lea Abalos,1994-02-04,Tarlac,735548,570,Community Development
Bayan Fund #764,Carlos Magbanua,1997-03-10,Mandaluyong,711713,48,Charitable
Paglaum Society #765,Lea Manalo,1978-10-24,Iloilo City,1603436,26,Health
Bagong Alliance #766,Maya Padilla,1998-10-15,Baguio,666655,31,Human Rights
Gabay Project,Evelyn Navarro,1978-01-04,Valenzuela,252009,173,Environmental
Gabayan Initiative #768,Marisol Alcantara,2006-07-13,Ilagan,268071,39,Arts & Culture
Aklat Charitable Foundation #769,Mark Manalo,2003-07-19,Davao City,241982,10,Charitable
Malasakit Council - Mendoza,Pedro Navarro,2017-01-13,Dipolog,240666,1797,Microfinance
Bayan Center #771,Roberto Sison,1988-01-04,Davao City,62955,22,Religious
Tahanan Foundation #772,Emilio Santos,2002-05-01,Bayawan,403259,36,Charitable
Kalinga Alliance,Teresa Alcantara,2011-08-25,Iligan,55512,89,Charitable
Luntiang Foundation for Education #774,Marisol Gonzales,1972-09-28,Makati,245878,17,Health
Sigla Network #775,Evelyn Padilla,1985-12-07,Marikina,440562,18,Health
Bukas Council #776,Teresa Dizon,1984-09-02,General Santos,2389505,33,Charitable
Malasakit Trust of Lipa,Juan Mendoza,1974-06-15,Paranaque,196397,5,Microfinance
Bukas Charitable Foundation #778,Roberto Manalo,1989-11-10,Capiz,354813,8,Research
Tahanan Foundation for Education #779,Roberto Velasco,2006-09-27,Iligan,968609,38,Environmental
Bayan Society,Rogelio Navarro,1970-10-19,Marikina,64355,188,Charitable
Sampaguita Foundation for Youth - Magbanua,Juan Torres,1992-08-23,Ormoc,1004598,1489,Community Development
Pag-ibig Community Trust #782,Ruben Navarro,1994-09-15,Tacloban,211917,18,Environmental
Luntiang Society #783,Teresa Padilla,1992-08-10,Bacolod,405235,31,Arts & Culture
Dangal Council of San Fernando,Antonio Salvador,1979-03-07,Manila,108918,10,Health
Sulong Foundation for Education #785,Carlos Alcantara,2003-07-29,Butuan,622620,42,Educational
Kapit-bisig Foundation for Youth #786,Evelyn Villar,1996-10-11,Cabuyao,50000,106,Community Development
Pag-asa Network #787,Jose Lopez,1994-10-21,Laguna,151545,537,Microfinance
Makabayan Society #788,Miguel Velasco,1996-10-21,Valenzuela,141674,263,Charitable
Bagong Council #789,Rogelio Torres,1975-02-04,Ormoc,93756,36,Health
Luntiang Foundation for Education #790,Ramon Ramos,1982-07-22,Sorsogon,318997,172,Educational
Aklat Alliance of General Santos,Marisol Aquino,2006-04-19,San Pablo,499890,39,Human Rights
Bukas Community Trust - Salvador,Carlos Rodriguez,2000-10-14,Sorsogon,364428,44,Health
Malasakit Initiative,Ella Cruz,2012-09-05,Koronadal,112301,17,Community Development
Sigla Council #794,Rosa Manalo,1985-04-02,Koronadal,51222,29,Community Development
Pamana Center #795,Rosa Gonzales,2012-03-27,Taguig,2130157,16,Educational
Gabay Alliance,Maya Magbanua,2020-02-26,Puerto Princesa,391452,982,Community Development
Sampaguita Foundation for Education #797,Rico Lopez,1978-01-05,Iloilo City,1254726,49,Environmental
Gabay Society of Mandaluyong,Carmen Magbanua,1999-09-22,Tarlac,369330,87,Human Rights
Paglaum Foundation for Youth #799,Rosa Padilla,1980-07-26,Marikina,1393039,39,Health
Lingap Society #800,Daniel Salvador,2022-01-23,San Fernando,647629,46,Community Development
Tulong Network #801,Rico Rodriguez,2014-11-25,Pasig,688430,1800,Educational
Dangal Project #802,Mark Villar,2007-01-23,Davao City,70001,13,Educational
Kalinga Fund - Aquino,Francis Sison,2011-01-19,Cagayan de Oro,314729,9,Health
Makabayan Society #804,Ruben Fernandez,1977-04-02,Angeles City,1267294,41,Microfinance
Sampaguita Fund of Laguna,Maria Dela Cruz,2010-07-22,Baguio,120229,33,Environmental
Kalinga Charitable Foundation #806,Rogelio Fernandez,2021-09-13,Puerto Princesa,106283,76,Charitable
Sampaguita Network #807,Jocelyn Navarro,1977-11-24,Taguig,1577238,29,Health
Kaagapay Project #808,Daniel Aquino,2006-03-11,Tacloban,50000,40,Educational
Aklat Project,Juan Santos,2017-11-20,Valenzuela,1842699,42,Health
Gabay Fund,Juan Sison,1998-11-28,Puerto Princesa,1768111,326,Health
Sulong Initiative #811,Juan Ramos,1970-05-16,Laguna,689423,115,Environmental
Tahanan Community Trust of Batangas City,Rosa Garcia,1979-03-20,San Pablo,50000,91,Educational
Sulong Foundation for Youth #813,Rosa Fernandez,1975-11-10,Caloocan,1394218,161,Charitable
Gabayan Community Trust - Delgado,Evelyn Delgado,2000-04-23,Tacloban,722162,12,Arts & Culture
Dangal Center #815,Ramon Sison,2013-12-23,Batangas City,1304933,32,Health
Tatak Initiative #816,Liza Abalos,2006-03-11,Quezon City,80204,45,Charitable
Tahanan Initiative #817,Maya Garcia,1988-12-12,Sorsogon,240192,49,Community Development
Bayan Foundation for Youth,Mark Fernandez,1981-01-18,Tarlac,50000,69,Charitable
Lingap Project of Laguna,Miguel Navarro,2017-12-22,San Fernando,468058,165,Community Development
Lingap Foundation for Youth #820,Maria Ramos,1979-09-13,Capiz,3895824,19,Arts & Culture
Bayan Foundation,Ruben Gonzales,2007-05-23,Iloilo Province,57288,59,Community Development
Luntiang Trust #822,Grace Velasco,2012-07-24,Tagum,346023,11,Educational
Bagong Initiative #823,Ruben Ramos,1970-11-01,Mandaluyong,279697,16,Arts & Culture
Haraya Foundation for Education #824,Ana Ramos,2016-09-05,Baguio,1600180,49,Community Development
Malasakit Center - Aquino,Carlos Sison,1979-05-31,Iligan,978366,19,Microfinance
Pag-asa Alliance of Pasig,Jocelyn Gonzales,2014-08-27,Valenzuela,169427,157,Environmental
Kaagapay Initiative #827,Rogelio Velasco,2016-12-07,Valenzuela,63477,40,Charitable
Sigla Community Trust #828,Carmen Villar,1984-05-22,Caloocan,314263,11,Health
Pamana Network #829,Marisol Rodriguez,2013-02-14,Naga,389206,35,Health
Tahanan Foundation #830,Juan Ramos,1977-12-26,Pasig,159746,37,Community Development
Bukas Foundation for Education #831,Lea Garcia,1978-01-30,Vigan,117050,35,Community Development
Sulong Trust #832,Maya Bautista,1979-02-02,General Santos,328795,19,Environmental
Gabayan Alliance of General Santos,Emilio Santos,1978-12-15,Dasmariñas,345031,170,Health
Lingap Society #834,Rosa Dizon,1998-01-20,Tacloban,420083,20,Environmental
Gabay Trust #835,Ana Manalo,1974-02-12,Manila,300869,48,Arts & Culture
Kapit-bisig Center - Lopez,Teresa Sison,2009-04-09,San Fernando,139408,33,Environmental
Paglaum Help Fund #837,Maya Reyes,2003-06-07,Naga,50000,43,Arts & Culture
Sampaguita Trust,Antonio Mendoza,2010-12-16,Baguio,1412295,87,Charitable
Luntiang Community Trust #839,Aileen Villanueva,2007-11-02,Capiz,50112,8,Environmental
Bagong Community Trust of Sorsogon,Maria Manalo,1984-04-20,Antipolo,219012,26,Microfinance
Haraya Help Fund #841,Francis Villanueva,2021-01-16,Cabuyao,408079,47,Educational
Gabayan Center #842,Evelyn Mendoza,2002-03-04,San Fernando,3351781,138,Arts & Culture
Bayan Society #843,Ella Sison,1981-09-21,Marikina,856808,34,Religious
Aklat Trust #844,Rico Aquino,2009-07-15,Caloocan,441779,25,Community Development
Tulong Alliance #845,Daniel Lopez,1971-02-10,Bayawan,1279761,42,Community Development
Dangal Council,Rogelio Bautista,2021-09-25,Sorsogon,1404047,121,Community Development
Sulong Council - Castillo,Ruben Ortega,1978-07-18,Tacloban,350404,22,Educational
Dangal Community Trust #848,Cristina Villanueva,2001-01-07,Koronadal,4500951,59,Educational
Dangal Foundation for Education #849,Antonio Garcia,2020-02-03,San Fernando,564666,14,Arts & Culture
Lingap Foundation #850,Daniel Abalos,1984-01-30,Iligan,1092163,37,Community Development
Aklat Society #851,Lea Manalo,1984-11-02,Cebu City,942911,41,Community Development
Tatak Network #852,Ramon Torres,1999-09-08,Baguio,213876,145,Charitable
Lingap Council #853,Cristina Cruz,2003-12-21,Lucena,1471055,261,Charitable
Gabayan Network of Dipolog,Emilio Reyes,2014-09-20,Iloilo Province,867567,20,Religious
Makabayan Trust #855,Lea Bautista,1971-08-06,Antipolo,74079,22,Human Rights
Luntiang Project,Maria Cruz,2019-04-06,Manila,410499,18,Microfinance
Tulong Charitable Foundation #857,Evelyn Ortega,1997-04-30,Iligan,350037,44,Community Development
Kapit-bisig Foundation for Education - Padilla,Ramon Dizon,1974-11-14,Iloilo City,1644612,19,Environmental
Gabayan Fund #859,Grace Navarro,2025-08-08,Ormoc,68261,6,Charitable
Aklat Community Trust #860,Ella Dizon,2010-08-07,Pasig,178186,157,Religious
Dangal Initiative of Manila,Ramon Dizon,1996-03-12,Butuan,381477,50,Community Development
Sulong Fund #862,Ruben Gonzales,1974-02-09,Paranaque,537209,10,Environmental
Aklat Center #863,Carlos Castillo,2006-09-18,Antipolo,405686,16,Arts & Culture
Paglaum Foundation for Youth #864,Roberto Rodriguez,1980-10-31,Lucena,68785,39,Research
Kalinga Network #865,Carlos Magbanua,1987-02-05,Bayawan,50000,1966,Charitable
Makabayan Trust #866,Rogelio Aquino,1974-03-04,Laguna,2236783,32,Community Development
Dangal Foundation for Youth #867,Ana Navarro,2010-06-02,Cavite City,1805388,159,Educational
Sulong Center of Angeles City,Juan Delgado,1974-05-11,Butuan,111443,41,Educational
Bukas Network - Abalos,Mark Navarro,1985-11-24,Tagum,743704,23,Charitable
Bukas Center #870,Maya Alcantara,1981-07-08,Antipolo,3727211,111,Health
Luntiang Foundation for Education #871,Evelyn Ortega,1998-11-16,Iligan,99373,31,Health
Luntiang Project #872,Evelyn Abalos,1992-04-09,Baguio,63516,147,Community Development
Luntiang Fund #873,Rosa Padilla,1981-12-19,Taguig,680755,26,Charitable
Haraya Foundation for Youth #874,Ruben Sison,2015-12-17,Mandaluyong,1185249,17,Charitable
Makabayan Community Trust of Ilagan,Marisol Cruz,1989-07-01,Valenzuela,277587,64,Community Development
Kalinga Foundation for Youth #876,Ruben Villar,2000-12-23,Cabuyao,67836,114,Religious
Bagong Community Trust #877,Daniel Fernandez,2015-03-17,Malaybalay,1236413,92,Charitable
Malasakit Foundation for Education #878,Ramon Castillo,1980-05-09,Puerto Princesa,4093822,188,Research
Sigla Council #879,Lea Salvador,2021-03-12,Koronadal,543688,553,Charitable
Dangal Community Trust - Sison,Carlos Cruz,1995-08-27,Tacloban,1489092,46,Environmental
Bayan Council #881,Ana Dela Cruz,2004-03-03,Cagayan de Oro,536665,27,Educational
Lingap Initiative of Baguio,Rogelio Magbanua,1984-06-09,Lipa,60466,38,Educational
Dangal Alliance,Pedro Alcantara,1975-07-26,Tagum,106683,34,Charitable
Pag-ibig Initiative #884,Rogelio Cruz,1972-11-24,Batangas City,235239,185,Community Development
Gabayan Trust #885,Evelyn Manalo,2020-05-29,Iloilo City,220460,23,Research
Gabay Foundation for Education #886,Grace Mendoza,1991-04-26,Iligan,452190,49,Arts & Culture
Malasakit Alliance,Ruben Ramos,1974-03-20,San Pablo,633841,1702,Charitable
Luntiang Project #888,Jocelyn Ramos,1998-01-19,Butuan,3648700,16,Environmental
Gabay Alliance of Valenzuela,Evelyn Manalo,2009-10-01,Iloilo City,264515,22,Educational
Kapit-bisig Community Trust,Ruben Navarro,2002-12-29,Puerto Princesa,103510,10,Health
Gabay Foundation for Youth - Rodriguez,Rogelio Bautista,1987-05-12,Lipa,177383,73,Religious
Gabayan Center #892,Ella Reyes,1986-10-10,Dasmariñas,427297,32,Environmental
Gabay Council #893,Ana Mendoza,1973-08-24,Tacloban,221217,7,Educational
Paglaum Council #894,Miguel Garcia,1984-06-09,Roxas,160669,183,Community Development
Paglaum Foundation #895,Ramon Padilla,1983-11-21,Caloocan,192896,37,Charitable
Makabayan Foundation for Youth of Davao City,Rogelio Abalos,2025-03-25,Koronadal,1243294,29,Educational
Pag-ibig Network #897,Jocelyn Salvador,2019-05-11,Batangas City,277507,22,Environmental
Tulong Charitable Foundation #898,Ruben Lopez,2017-02-19,Iloilo City,278260,38,Charitable
Sampaguita Council #899,Jose Magbanua,2015-04-27,Paranaque,323703,26,Health
Haraya Council #900,Grace Mendoza,1978-04-01,Batangas City,340347,38,Health
Tahanan Help Fund #901,Roberto Ramos,1999-10-11,Naga,468700,16,Microfinance
Kalinga Charitable Foundation - Ortega,Mark Villanueva,2020-05-11,Puerto Princesa,1885932,43,Educational
Pag-asa Foundation for Education of Batangas City,Emilio Torres,2025-01-21,San Fernando,50000,1194,Microfinance
Tahanan Foundation #904,Ella Sison,1998-10-17,San Pablo,258340,90,Arts & Culture
Pag-asa Project #905,Miguel Cruz,1995-05-17,Quezon City,961262,9,Educational
Sulong Society,Rogelio Dizon,2016-02-21,Iligan,2882765,16,Health
Gabayan Network #907,Maria Villar,1987-04-10,Rizal,372206,24,Arts & Culture
Sulong Trust #908,Ana Fernandez,2018-04-07,Malaybalay,482242,416,Community Development
Bayan Foundation for Education #909,Jose Rodriguez,1989-02-15,Cabuyao,549434,47,Charitable
Pag-asa Initiative of Malaybalay,Carlos Castillo,2009-01-17,Capiz,105898,29,Religious
Tulong Community Trust #911,Ella Garcia,1972-02-18,Cavite City,175470,21,Environmental
Malasakit Fund,Maria Reyes,1976-07-28,Davao City,354279,170,Research
Paglaum Council - Reyes,Francis Alcantara,1990-06-04,General Santos,3958714,23,Educational
Haraya Project #914,Emilio Navarro,2006-04-14,Tacloban,169602,826,Community Development
Makabayan Foundation #915,Antonio Ramos,1980-08-12,Malaybalay,50000,1062,Religious
Bayan Foundation for Education #916,Maya Ortega,1975-09-04,Puerto Princesa,1116567,12,Educational
Lingap Community Trust of Cebu City,Teresa Abalos,2015-02-10,Antipolo,296126,115,Religious
Pag-ibig Charitable Foundation #918,Ella Villar,2024-06-01,Zamboanga City,1474599,1867,Religious
Pag-ibig Charitable Foundation #919,Marisol Padilla,2004-03-21,Lucena,1344032,27,Arts & Culture
Dangal Foundation #920,Lea Fernandez,2017-11-10,Iloilo City,484436,25,Arts & Culture
Bagong Community Trust #921,Antonio Magbanua,2018-12-17,Lipa,223490,14,Arts & Culture
Kapit-bisig Center #922,Rosa Ramos,2003-06-23,Manila,442000,142,Community Development
Pamana Society #923,Grace Garcia,1981-01-21,Caloocan,3148832,16,Religious
Pamana Trust - Villar,Roberto Bautista,2000-11-06,Bacolod,267892,19,Research
Haraya Help Fund #925,Daniel Manalo,2015-12-26,Cagayan de Oro,99984,9,Religious
Sampaguita Center #926,Cristina Ortega,1992-09-03,Valenzuela,635684,1394,Educational
Pag-asa Center #927,Ella Magbanua,2020-11-23,Davao City,2237495,45,Environmental
Tatak Help Fund,Grace Padilla,2019-04-25,Cebu City,611040,132,Health
Pag-ibig Foundation for Education #929,Jose Velasco,1978-10-23,Valenzuela,1006670,74,Community Development
Gabay Foundation for Youth #930,Lea Lopez,2002-01-15,Taguig,103446,49,Charitable
Tahanan Trust of Lipa,Evelyn Reyes,1987-05-12,Rizal,347736,16,Educational
Aklat Network,Ramon Ortega,1997-06-04,Tagum,95409,196,Community Development
Bukas Center #933,Francis Salvador,2002-09-13,Rizal,1280469,36,Charitable
Haraya Center #934,Juan Lopez,1992-02-01,Iloilo City,1776584,50,Charitable
Kapit-bisig Project - Velasco,Carlos Dizon,1982-01-18,Cabuyao,401070,49,Health
Gabay Fund #936,Rico Villanueva,2011-07-11,Iloilo Province,529562,15,Microfinance
Sigla Charitable Foundation #937,Rosa Villanueva,2019-06-30,Antipolo,1153234,22,Health
Kaagapay Trust of Baguio,Aileen Alcantara,1982-07-24,Malaybalay,1399830,32,Research
Kalinga Alliance #939,Maya Sison,1976-11-10,Sorsogon,701414,28,Community Development
Tulong Help Fund #940,Juan Manalo,2015-07-03,Laguna,1124269,43,Educational
Bayan Society #941,Francis Salvador,2006-05-07,Vigan,1060541,192,Community Development
Bukas Initiative #942,Marisol Santos,2019-06-27,General Santos,1401934,90,Environmental
Pamana Help Fund,Grace Villanueva,1983-05-03,Tarlac,50000,59,Community Development
Luntiang Initiative,Rico Navarro,2022-11-24,Sorsogon,795434,8,Community Development
Gabayan Council of Iligan,Jose Mendoza,2002-08-24,Iligan,254471,40,Educational
Tahanan Society - Magbanua,Evelyn Ramos,1984-11-17,Puerto Princesa,1534394,13,Charitable
Sulong Center #947,Emilio Fernandez,1986-01-27,Dipolog,1057087,1595,Microfinance
Bukas Foundation for Education #948,Aileen Garcia,2013-05-18,Batangas City,162646,1900,Charitable
Lingap Initiative #949,Rogelio Villanueva,1990-10-16,Cebu City,50000,19,Microfinance
Paglaum Fund,Cristina Santos,1988-07-20,Mandaue,471668,158,Community Development
Sigla Project #951,Lea Abalos,2010-10-15,Caloocan,687120,520,Arts & Culture
Makabayan Trust of Bayawan,Mark Navarro,1994-07-15,Ilagan,227841,39,Microfinance
Paglaum Foundation for Youth #953,Grace Salvador,1985-08-06,San Pablo,50000,20,Microfinance
Kapit-bisig Project #954,Teresa Salvador,1976-12-25,Mandaue,237358,22,Community Development
Paglaum Project #955,Marisol Torres,2016-04-29,Lucena,396011,47,Educational
Sigla Society,Aileen Dizon,2013-09-05,Marikina,637488,17,Community Development
Sulong Help Fund - Garcia,Emilio Fernandez,1990-08-20,Cebu City,50000,71,Charitable
Sulong Foundation for Education #958,Miguel Rodriguez,1983-06-25,Dasmariñas,104672,96,Health
Kaagapay Community Trust of Pasig,Ella Torres,2007-03-14,Naga,371703,9,Environmental
Gabay Trust #960,Lea Ramos,2012-12-15,Marikina,425381,102,Arts & Culture
Kalinga Foundation for Youth #961,Liza Navarro,2006-11-12,Quezon City,721818,43,Arts & Culture
Tahanan Foundation #962,Pedro Salvador,2023-02-22,Paranaque,627228,96,Health
Bagong Foundation for Education #963,Mark Santos,2021-05-05,Cagayan de Oro,80804,5,Community Development
Lingap Center #964,Miguel Abalos,1986-02-25,Mandaue,1708051,21,Human Rights
Luntiang Foundation for Youth #965,Francis Navarro,1971-09-03,Sorsogon,80399,5,Charitable
Pag-ibig Trust of Bacolod,Emilio Ortega,2012-04-17,Marikina,35706185,51,Charitable
Sampaguita Initiative,Carlos Aquino,2023-11-27,Cagayan de Oro,843857,184,Charitable
Tatak Center - Ortega,Ella Delgado,1993-09-24,Paranaque,278931,5,Research
Gabay Foundation for Education #969,Ramon Abalos,2010-09-07,Ormoc,669006,13,Health
Bukas Trust #970,Cristina Mendoza,2004-07-31,Taguig,1306555,20,Research
Pag-asa Foundation #971,Roberto Delgado,2015-04-01,Cabuyao,735232,19,Charitable
Haraya Society,Pedro Ortega,1978-08-22,Dasmariñas,612869,168,Charitable
Kaagapay Foundation for Youth of Caloocan,Rico Magbanua,2017-09-04,Iligan,65854,20,Community Development
Tatak Trust,Jose Villanueva,1981-09-10,Ormoc,142712,44,Research
Pamana Society #975,Juan Sison,2008-09-17,Mandaue,209436,552,Educational
Haraya Fund,Aileen Santos,2017-07-14,Tacloban,50000,40,Environmental
Tahanan Charitable Foundation #977,Lea Magbanua,2004-03-15,Batangas City,492571,11,Charitable
Bukas Charitable Foundation #978,Maya Abalos,2021-09-08,Antipolo,524939,6,Human Rights
Paglaum Network - Navarro,Cristina Abalos,1977-07-09,Lipa,753462,1218,Educational
Pamana Project of General Santos,Roberto Dela Cruz,1970-08-22,Dipolog,140088,45,Environmental
Sulong Trust #981,Mark Dela Cruz,2003-08-24,Capiz,1155960,45,Charitable
Kalinga Community Trust #982,Jocelyn Lopez,2006-09-06,Tarlac,945691,24,Research
Pag-asa Center #983,Carmen Navarro,2022-07-08,General Santos,579641,12,Charitable
Paglaum Society #984,Grace Aquino,2020-08-29,Tarlac,1008780,40,Environmental
Kaagapay Alliance #985,Ella Mendoza,1988-04-10,Olongapo,302003,1289,Arts & Culture
Pamana Charitable Foundation #986,Grace Villanueva,1986-01-13,Tarlac,2736804,5,Community Development
Aklat Alliance of Mandaluyong,Francis Dizon,2005-09-19,Ilagan,416972,11,Human Rights
Bagong Society,Aileen Ramos,1980-09-07,Ilagan,253945,166,Environmental
Tahanan Network #989,Jocelyn Castillo,1984-07-07,Antipolo,1752176,28,Community Development
Luntiang Charitable Foundation - Lopez,Jocelyn Cruz,2025-02-01,Tagum,158066,1742,Charitable
Dangal Community Trust #991,Maria Fernandez,2004-11-28,Laguna,55054,25,Environmental
Bayan Charitable Foundation #992,Jose Alcantara,1983-01-15,Marikina,745033,46,Charitable
Kaagapay Project #993,Jose Reyes,1993-08-08,Iloilo City,400382,39,Environmental
Kaagapay Foundation of Sorsogon,Antonio Abalos,2005-12-11,San Fernando,540413,35,Environmental
Kapit-bisig Council #995,Rosa Castillo,2023-08-08,Davao City,253310,16,Human Rights
Tatak Society #996,Liza Navarro,2014-05-09,Iloilo Province,234925,20,Charitable
Bayan Initiative #997,Aileen Ramos,2016-06-26,Lipa,699497,24,Educational
Kalinga Foundation #998,Jocelyn Ortega,2015-10-21,Mandaue,4725316,20,Environmental
Malasakit Initiative #999,Evelyn Fernandez,1973-03-27,Tarlac,50000,75,Human Rights
Tahanan Foundation for Education #1000,Juan Fernandez,1977-10-16,Baguio,196392,149,Community Development
